Heart_Rate_bpm,Temperature_C,Humidity_percent,Respiratory_Rate_breaths_min,Health_Status
58,39,54,17,Normal
74,38,63,19,Normal
92,39,96,14,Heat_Stress
87,39,85,34,Heat_Stress
76,40,47,18,Normal
72,39,69,20,Normal
60,38,67,31,Fever
72,40,55,18,Normal
73,38,35,26,Fever
73,38,102,19,Fever
89,41,66,26,Heat_Stress
49,38,104,1,Fever
75,39,86,25,Fever
93,39,50,23,Normal
47,38,57,16,Normal
80,39,74,24,Heat_Stress
97,40,86,14,Normal
76,38,93,18,Heat_Stress
82,37,88,18,Heat_Stress
88,38,63,28,Fever
70,38,51,25,Respiratory_Infection
66,39,100,19,Fever
52,38,48,21,Fever
45,38,60,18,Fever
72,39,43,22,Normal
67,39,88,24,Heat_Stress
66,39,100,19,Fever
87,38,46,20,Fever
104,39,112,25,Respiratory_Infection
61,39,63,24,Normal
63,40,91,21,Heat_Stress
45,37,62,16,Normal
69,39,48,22,Normal
54,39,79,23,Respiratory_Infection
46,40,91,30,Normal
76,40,44,21,Normal
95,37,59,18,Respiratory_Infection
95,40,86,15,Respiratory_Infection
52,40,98,25,Fever
68,38,52,6,Normal
74,39,35,24,Respiratory_Infection
61,40,62,25,Heat_Stress
63,37,83,22,Fever
68,39,97,11,Normal
83,38,81,21,Fever
57,41,56,22,Normal
106,40,56,28,Fever
59,38,122,10,Respiratory_Infection
82,37,54,17,Fever
56,39,79,23,Heat_Stress
86,37,81,20,Heat_Stress
69,39,62,14,Normal
81,40,50,24,Respiratory_Infection
54,41,58,22,Respiratory_Infection
67,37,78,19,Heat_Stress
81,38,55,21,Respiratory_Infection
67,39,81,20,Normal
97,41,74,23,Normal
77,38,93,33,Fever
103,38,80,15,Respiratory_Infection
91,37,76,14,Normal
76,39,87,12,Normal
50,36,73,17,Normal
65,37,52,24,Normal
60,38,48,15,Fever
70,38,55,18,Heat_Stress
56,39,56,14,Heat_Stress
58,39,68,4,Normal
67,38,79,13,Heat_Stress
81,38,49,17,Heat_Stress
59,37,50,21,Normal
100,39,66,31,Fever
77,39,49,20,Normal
57,39,73,21,Heat_Stress
93,39,92,24,Respiratory_Infection
50,40,87,30,Normal
80,38,57,12,Fever
39,39,70,17,Fever
72,39,56,14,Respiratory_Infection
81,39,95,27,Normal
69,38,74,13,Fever
78,38,66,8,Normal
58,38,89,12,Heat_Stress
68,38,76,29,Fever
84,38,54,20,Normal
78,40,59,26,Heat_Stress
60,40,72,22,Normal
62,39,60,19,Normal
68,39,37,21,Respiratory_Infection
66,40,97,19,Respiratory_Infection
60,37,48,19,Heat_Stress
86,39,71,24,Fever
85,38,74,17,Normal
66,36,88,14,Respiratory_Infection
61,39,63,13,Heat_Stress
92,41,79,25,Respiratory_Infection
71,39,74,22,Normal
65,38,52,11,Heat_Stress
87,41,45,29,Respiratory_Infection
61,40,89,26,Normal
62,38,89,14,Heat_Stress
91,36,63,17,Heat_Stress
81,37,43,13,Respiratory_Infection
67,37,76,17,Respiratory_Infection
44,38,67,21,Respiratory_Infection
51,38,59,23,Normal
64,39,77,19,Heat_Stress
92,38,81,17,Respiratory_Infection
43,38,59,21,Heat_Stress
52,38,89,16,Respiratory_Infection
64,37,67,14,Normal
63,40,91,21,Heat_Stress
69,39,58,10,Heat_Stress
75,38,66,22,Fever
82,37,87,16,Respiratory_Infection
39,37,75,19,Respiratory_Infection
74,39,44,27,Fever
80,40,56,19,Respiratory_Infection
43,38,98,26,Respiratory_Infection
70,38,52,19,Normal
76,40,92,14,Heat_Stress
60,37,44,17,Respiratory_Infection
84,40,61,8,Respiratory_Infection
83,38,82,19,Normal
61,38,73,26,Heat_Stress
74,37,54,22,Normal
55,39,69,22,Heat_Stress
35,39,65,24,Normal
66,39,58,16,Fever
85,40,57,28,Heat_Stress
75,40,73,24,Normal
65,38,79,19,Normal
87,38,61,23,Heat_Stress
66,39,52,14,Respiratory_Infection
116,39,61,21,Normal
79,39,48,18,Heat_Stress
104,37,39,24,Fever
48,39,84,16,Fever
85,40,59,13,Respiratory_Infection
68,37,80,28,Heat_Stress
68,39,78,22,Normal
80,39,59,21,Normal
88,38,74,30,Normal
70,38,83,14,Normal
43,38,98,26,Respiratory_Infection
62,39,63,23,Respiratory_Infection
52,38,60,13,Respiratory_Infection
84,41,55,14,Heat_Stress
66,39,86,13,Normal
84,38,73,20,Heat_Stress
96,39,51,29,Normal
87,40,66,16,Normal
63,38,90,22,Respiratory_Infection
47,38,80,19,Fever
96,39,32,22,Respiratory_Infection
96,38,58,21,Heat_Stress
71,36,73,19,Normal
41,39,66,21,Respiratory_Infection
101,39,53,15,Fever
80,40,78,23,Respiratory_Infection
60,37,82,20,Normal
74,38,72,14,Normal
74,38,55,23,Normal
66,39,81,27,Normal
81,39,70,21,Heat_Stress
71,39,72,22,Respiratory_Infection
61,39,89,18,Heat_Stress
69,38,82,17,Respiratory_Infection
58,39,96,30,Heat_Stress
80,38,72,14,Heat_Stress
74,39,80,21,Heat_Stress
48,37,75,21,Heat_Stress
76,40,96,31,Heat_Stress
78,39,64,12,Normal
67,37,73,17,Heat_Stress
69,39,80,18,Fever
67,40,98,26,Fever
73,39,61,18,Normal
72,39,59,20,Respiratory_Infection
75,39,67,20,Normal
58,40,62,18,Fever
81,37,69,17,Heat_Stress
57,39,50,20,Heat_Stress
83,42,60,23,Respiratory_Infection
68,37,47,22,Respiratory_Infection
64,37,65,13,Fever
83,39,56,24,Heat_Stress
74,37,79,22,Fever
81,40,61,28,Normal
53,40,51,24,Heat_Stress
53,39,66,27,Heat_Stress
60,40,70,21,Fever
92,38,68,18,Fever
69,41,90,19,Fever
60,40,61,35,Heat_Stress
46,39,67,7,Normal
97,39,36,28,Fever
75,36,81,35,Respiratory_Infection
82,39,66,17,Fever
63,39,44,21,Heat_Stress
81,42,67,16,Heat_Stress
62,38,76,23,Heat_Stress
72,38,65,23,Fever
66,39,80,20,Respiratory_Infection
76,37,70,27,Fever
69,39,53,14,Heat_Stress
64,40,80,19,Respiratory_Infection
77,39,77,27,Normal
84,39,54,21,Normal
94,42,68,35,Fever
82,39,66,17,Fever
60,39,74,28,Heat_Stress
69,37,66,22,Fever
59,39,58,14,Fever
92,37,46,21,Respiratory_Infection
51,38,81,24,Heat_Stress
70,40,89,11,Fever
60,38,67,31,Fever
67,38,81,30,Normal
106,38,87,20,Respiratory_Infection
95,39,48,21,Normal
48,38,83,23,Heat_Stress
67,40,87,19,Normal
59,37,66,14,Normal
53,37,50,17,Fever
69,39,70,31,Normal
79,39,83,21,Heat_Stress
71,39,89,20,Heat_Stress
69,37,52,24,Heat_Stress
91,39,80,23,Fever
53,38,77,23,Fever
62,39,85,20,Normal
69,37,71,26,Heat_Stress
77,38,81,21,Fever
87,38,46,20,Fever
68,39,64,17,Normal
77,38,56,13,Respiratory_Infection
52,38,75,14,Heat_Stress
65,38,69,17,Normal
55,37,69,15,Heat_Stress
78,40,59,17,Heat_Stress
87,38,70,21,Respiratory_Infection
67,38,61,16,Normal
65,39,76,15,Normal
84,40,55,25,Normal
51,36,53,21,Heat_Stress
102,40,51,16,Normal
51,38,85,23,Normal
84,40,94,16,Heat_Stress
58,38,53,15,Respiratory_Infection
44,37,31,23,Heat_Stress
46,39,77,14,Normal
59,38,57,15,Respiratory_Infection
75,37,59,29,Normal
68,39,68,14,Heat_Stress
48,37,75,21,Heat_Stress
67,38,38,22,Normal
48,40,62,29,Heat_Stress
68,36,45,25,Fever
68,38,48,25,Respiratory_Infection
54,40,59,20,Respiratory_Infection
98,38,91,23,Heat_Stress
73,37,60,15,Normal
64,41,62,15,Fever
53,39,80,21,Normal
63,40,51,31,Normal
71,39,53,10,Heat_Stress
50,39,69,23,Respiratory_Infection
82,39,81,11,Normal
68,39,36,24,Heat_Stress
75,40,44,14,Respiratory_Infection
55,39,69,22,Heat_Stress
74,40,56,18,Normal
83,37,50,21,Fever
62,39,60,24,Fever
60,40,54,21,Fever
49,38,81,15,Normal
80,39,63,12,Heat_Stress
49,39,73,14,Heat_Stress
95,39,60,12,Respiratory_Infection
80,37,65,11,Respiratory_Infection
72,39,84,20,Fever
52,38,89,16,Respiratory_Infection
75,38,64,21,Heat_Stress
59,37,89,16,Heat_Stress
59,41,42,23,Heat_Stress
70,38,61,20,Respiratory_Infection
97,37,80,23,Respiratory_Infection
79,39,50,17,Respiratory_Infection
63,38,95,28,Normal
101,39,84,32,Heat_Stress
85,39,79,14,Heat_Stress
64,38,73,31,Heat_Stress
59,40,49,22,Respiratory_Infection
104,40,65,22,Respiratory_Infection
53,37,79,17,Respiratory_Infection
68,37,101,16,Respiratory_Infection
77,38,71,18,Heat_Stress
64,38,54,31,Heat_Stress
74,38,68,22,Heat_Stress
74,39,93,16,Normal
55,37,59,29,Respiratory_Infection
86,36,46,15,Normal
84,38,64,15,Heat_Stress
96,37,88,12,Respiratory_Infection
52,38,48,21,Fever
86,39,70,24,Normal
63,38,74,24,Respiratory_Infection
84,38,64,15,Heat_Stress
61,39,78,18,Heat_Stress
54,40,61,30,Fever
90,40,73,15,Heat_Stress
78,38,104,25,Fever
82,38,96,26,Fever
54,40,72,25,Normal
71,40,49,19,Normal
68,39,84,20,Normal
62,39,77,22,Normal
72,37,83,25,Respiratory_Infection
76,39,78,21,Fever
78,36,66,27,Normal
75,39,97,12,Normal
61,37,31,20,Respiratory_Infection
75,39,73,16,Normal
65,39,55,22,Fever
76,40,92,14,Heat_Stress
87,39,85,34,Heat_Stress
72,38,44,17,Normal
48,39,65,17,Heat_Stress
61,37,65,9,Heat_Stress
73,39,94,25,Fever
62,39,79,22,Respiratory_Infection
70,38,93,24,Normal
69,39,94,26,Fever
82,39,69,32,Fever
48,37,75,21,Heat_Stress
83,38,69,13,Normal
72,38,30,17,Normal
50,39,72,23,Respiratory_Infection
62,38,99,13,Normal
65,39,98,19,Normal
69,39,98,24,Fever
71,41,72,17,Normal
75,39,82,19,Respiratory_Infection
79,36,84,31,Normal
45,39,95,26,Normal
91,39,85,19,Respiratory_Infection
60,38,17,24,Fever
68,39,65,21,Fever
77,39,89,20,Respiratory_Infection
58,39,105,12,Fever
33,37,83,14,Respiratory_Infection
94,39,77,15,Normal
60,38,82,18,Normal
73,38,90,20,Respiratory_Infection
93,39,91,17,Fever
68,38,76,29,Fever
71,39,75,25,Respiratory_Infection
64,38,55,22,Fever
40,39,53,16,Respiratory_Infection
66,39,53,12,Respiratory_Infection
86,39,80,24,Respiratory_Infection
78,39,71,25,Fever
73,38,79,19,Normal
55,39,65,10,Fever
53,38,90,10,Normal
67,40,38,20,Normal
63,40,66,17,Fever
60,38,17,24,Fever
101,39,84,32,Heat_Stress
62,38,76,23,Heat_Stress
86,40,63,16,Fever
66,38,95,25,Heat_Stress
75,39,60,28,Heat_Stress
82,38,54,28,Fever
37,40,49,24,Normal
95,37,58,13,Heat_Stress
76,40,44,18,Respiratory_Infection
82,39,66,17,Fever
65,39,58,18,Respiratory_Infection
55,40,71,14,Heat_Stress
67,38,68,14,Normal
65,39,58,26,Normal
78,38,53,22,Heat_Stress
82,39,76,13,Fever
76,40,78,21,Heat_Stress
59,38,67,27,Heat_Stress
59,38,98,26,Respiratory_Infection
68,37,51,7,Fever
61,37,77,7,Respiratory_Infection
50,39,69,23,Respiratory_Infection
67,39,85,13,Fever
59,37,89,16,Heat_Stress
93,36,53,20,Respiratory_Infection
68,39,36,24,Heat_Stress
106,40,56,28,Fever
65,39,66,28,Normal
52,41,82,21,Heat_Stress
64,39,70,19,Normal
101,39,53,15,Fever
83,38,55,21,Fever
74,38,89,12,Respiratory_Infection
50,40,62,18,Heat_Stress
80,38,67,19,Normal
66,40,82,24,Normal
66,39,71,17,Heat_Stress
74,39,80,21,Heat_Stress
77,37,79,21,Heat_Stress
64,38,38,23,Normal
85,39,50,16,Normal
74,38,57,23,Fever
69,38,59,20,Respiratory_Infection
75,40,89,22,Respiratory_Infection
43,40,69,9,Normal
62,38,51,21,Normal
89,38,71,16,Respiratory_Infection
64,38,71,18,Heat_Stress
83,39,42,20,Fever
44,38,52,17,Respiratory_Infection
71,41,79,31,Normal
76,39,55,18,Respiratory_Infection
72,38,67,27,Normal
68,39,73,15,Normal
80,39,62,20,Fever
59,39,83,13,Respiratory_Infection
66,38,73,26,Fever
86,36,86,10,Normal
76,39,40,26,Heat_Stress
75,36,77,14,Normal
65,38,70,29,Heat_Stress
47,38,94,18,Normal
57,38,55,24,Fever
53,38,77,23,Fever
75,38,48,16,Respiratory_Infection
90,40,73,24,Normal
83,36,54,20,Respiratory_Infection
80,40,67,22,Respiratory_Infection
44,39,46,28,Fever
70,38,55,18,Heat_Stress
62,39,76,14,Heat_Stress
68,39,48,21,Respiratory_Infection
66,38,95,25,Heat_Stress
60,37,53,11,Fever
35,38,57,20,Respiratory_Infection
59,38,60,23,Fever
72,40,65,31,Fever
56,38,62,15,Heat_Stress
73,38,88,23,Normal
83,38,81,21,Fever
71,39,68,18,Fever
71,37,40,30,Fever
58,39,49,18,Heat_Stress
83,39,56,24,Heat_Stress
77,36,68,26,Heat_Stress
70,40,38,12,Normal
61,41,53,24,Fever
54,41,64,22,Fever
73,35,82,16,Heat_Stress
44,41,93,21,Normal
55,38,76,12,Fever
59,41,73,8,Fever
85,37,72,18,Normal
56,39,90,15,Respiratory_Infection
50,37,57,19,Heat_Stress
66,36,67,27,Normal
61,38,60,26,Heat_Stress
71,38,72,27,Respiratory_Infection
60,37,79,25,Respiratory_Infection
97,37,84,22,Normal
67,37,34,21,Heat_Stress
54,41,66,15,Fever
68,38,55,20,Respiratory_Infection
74,39,45,25,Heat_Stress
78,39,76,19,Normal
79,38,76,21,Normal
87,41,45,29,Respiratory_Infection
69,39,80,18,Fever
52,41,47,17,Respiratory_Infection
85,38,66,13,Heat_Stress
93,38,66,18,Fever
88,39,77,26,Normal
99,37,74,21,Normal
73,39,65,15,Respiratory_Infection
67,40,72,21,Normal
80,38,80,27,Fever
54,40,51,2,Heat_Stress
71,39,89,20,Heat_Stress
73,39,81,20,Heat_Stress
52,38,81,16,Normal
76,38,49,7,Respiratory_Infection
60,38,76,12,Respiratory_Infection
83,40,58,18,Normal
73,38,77,18,Heat_Stress
71,40,50,24,Respiratory_Infection
74,38,73,18,Heat_Stress
62,38,62,29,Fever
58,40,81,20,Respiratory_Infection
86,39,41,18,Normal
93,39,90,22,Respiratory_Infection
44,37,76,27,Normal
54,41,65,27,Fever
52,38,61,14,Fever
64,39,77,23,Respiratory_Infection
51,39,53,14,Normal
67,39,93,19,Respiratory_Infection
88,40,30,19,Respiratory_Infection
56,37,71,8,Fever
63,39,48,28,Fever
95,38,66,15,Heat_Stress
79,38,68,10,Respiratory_Infection
77,40,47,26,Normal
92,38,68,18,Fever
64,40,64,16,Heat_Stress
88,38,58,18,Normal
86,39,71,2,Normal
74,38,51,20,Normal
91,38,64,11,Respiratory_Infection
70,38,84,12,Respiratory_Infection
97,38,48,23,Normal
25,40,78,23,Normal
55,38,68,23,Normal
105,39,63,21,Respiratory_Infection
79,40,57,24,Heat_Stress
61,37,77,7,Respiratory_Infection
54,40,72,13,Heat_Stress
75,39,56,28,Respiratory_Infection
84,40,86,15,Normal
49,39,48,19,Heat_Stress
40,40,76,19,Heat_Stress
92,38,68,18,Fever
74,41,58,24,Normal
61,40,72,29,Respiratory_Infection
79,39,50,17,Respiratory_Infection
93,40,68,18,Heat_Stress
72,39,60,22,Heat_Stress
63,37,77,22,Respiratory_Infection
82,38,76,18,Heat_Stress
84,40,36,18,Heat_Stress
109,41,60,26,Normal
54,38,91,21,Heat_Stress
60,40,74,26,Fever
52,37,66,19,Heat_Stress
83,40,64,20,Normal
65,39,77,14,Normal
46,38,41,27,Heat_Stress
72,39,78,23,Heat_Stress
68,41,75,20,Fever
63,40,91,21,Heat_Stress
64,38,48,31,Normal
69,39,60,23,Fever
67,37,73,17,Heat_Stress
68,37,31,15,Respiratory_Infection
61,38,96,18,Normal
84,40,94,19,Heat_Stress
44,38,102,16,Normal
54,40,72,13,Heat_Stress
64,39,48,17,Respiratory_Infection
77,39,62,21,Normal
74,37,65,30,Fever
71,38,70,22,Fever
80,38,54,12,Fever
58,39,107,12,Normal
68,38,85,30,Fever
64,37,48,25,Fever
61,40,62,25,Heat_Stress
82,39,65,27,Heat_Stress
49,38,68,13,Fever
89,38,53,25,Normal
48,39,80,24,Respiratory_Infection
95,35,89,22,Normal
59,39,53,19,Respiratory_Infection
58,38,93,21,Respiratory_Infection
36,38,72,24,Respiratory_Infection
82,39,48,25,Respiratory_Infection
63,40,92,12,Normal
64,38,50,17,Heat_Stress
55,38,59,21,Normal
62,40,86,17,Fever
45,37,65,29,Normal
45,39,78,12,Fever
63,39,101,17,Respiratory_Infection
66,39,63,26,Respiratory_Infection
48,37,75,21,Heat_Stress
54,39,64,27,Fever
85,38,66,13,Heat_Stress
75,37,71,6,Fever
73,38,71,20,Normal
76,39,95,17,Respiratory_Infection
76,40,61,19,Respiratory_Infection
63,38,58,21,Fever
86,38,86,12,Fever
86,41,58,14,Fever
83,39,77,23,Fever
85,38,32,23,Fever
70,39,70,11,Fever
74,40,89,22,Fever
49,40,59,7,Respiratory_Infection
89,41,66,26,Heat_Stress
49,39,48,19,Heat_Stress
91,41,26,25,Normal
78,37,58,12,Respiratory_Infection
47,39,107,26,Respiratory_Infection
50,39,72,23,Respiratory_Infection
72,37,70,25,Respiratory_Infection
82,39,91,11,Heat_Stress
62,38,76,23,Heat_Stress
88,39,90,23,Respiratory_Infection
76,40,74,27,Heat_Stress
74,37,85,15,Normal
77,37,68,26,Respiratory_Infection
45,40,49,22,Fever
38,40,37,22,Fever
84,42,71,25,Heat_Stress
63,40,60,15,Heat_Stress
59,36,39,15,Fever
69,38,41,22,Respiratory_Infection
104,39,112,25,Respiratory_Infection
77,38,82,25,Fever
81,38,40,10,Fever
77,38,78,18,Respiratory_Infection
87,39,85,34,Heat_Stress
67,39,88,24,Heat_Stress
57,40,107,27,Heat_Stress
49,38,52,23,Normal
57,40,107,27,Heat_Stress
69,37,71,26,Heat_Stress
72,37,39,14,Heat_Stress
52,39,78,21,Respiratory_Infection
76,39,49,21,Normal
69,39,98,24,Fever
67,40,54,20,Normal
96,40,57,17,Normal
72,38,75,9,Fever
57,36,59,16,Normal
44,38,47,14,Heat_Stress
83,39,49,16,Normal
53,37,55,16,Respiratory_Infection
88,37,77,27,Fever
80,39,61,22,Respiratory_Infection
64,39,77,19,Heat_Stress
50,37,57,19,Heat_Stress
71,39,50,25,Fever
68,39,63,27,Heat_Stress
74,38,57,23,Fever
63,38,78,21,Respiratory_Infection
92,38,80,14,Fever
62,38,56,11,Respiratory_Infection
57,40,69,23,Normal
75,38,58,25,Normal
67,37,70,19,Normal
77,37,68,26,Respiratory_Infection
62,39,71,22,Fever
67,37,75,16,Normal
57,39,88,20,Fever
72,38,65,23,Fever
82,39,66,17,Fever
69,37,50,15,Heat_Stress
55,37,81,21,Normal
87,39,81,12,Heat_Stress
26,37,54,21,Heat_Stress
55,40,71,14,Heat_Stress
91,39,82,18,Heat_Stress
60,38,86,27,Normal
60,40,54,21,Fever
77,40,63,15,Normal
61,39,41,22,Fever
57,38,46,13,Fever
43,38,70,10,Fever
79,39,88,14,Fever
79,36,78,19,Heat_Stress
67,38,65,17,Heat_Stress
61,39,65,8,Fever
78,39,84,12,Respiratory_Infection
80,41,52,19,Fever
57,40,70,20,Heat_Stress
55,39,81,22,Fever
89,39,31,19,Fever
64,38,50,20,Fever
62,39,60,24,Fever
56,40,44,17,Respiratory_Infection
55,39,81,22,Fever
94,36,83,26,Fever
64,40,58,19,Fever
95,37,76,11,Normal
77,38,49,18,Heat_Stress
74,38,66,25,Respiratory_Infection
94,39,65,28,Heat_Stress
69,38,79,25,Respiratory_Infection
69,39,74,18,Normal
83,42,60,23,Respiratory_Infection
49,37,70,20,Normal
68,40,74,34,Respiratory_Infection
59,40,66,20,Fever
73,38,78,11,Fever
72,40,61,22,Normal
93,38,48,18,Normal
77,41,85,17,Normal
85,38,74,23,Respiratory_Infection
82,37,75,23,Normal
70,38,68,21,Fever
61,37,73,17,Respiratory_Infection
81,40,51,27,Respiratory_Infection
80,38,75,12,Fever
53,36,66,15,Heat_Stress
59,38,75,7,Fever
63,40,51,26,Heat_Stress
89,39,93,0,Respiratory_Infection
84,37,81,12,Normal
51,38,66,10,Respiratory_Infection
49,39,88,21,Normal
65,39,96,27,Heat_Stress
61,40,83,10,Respiratory_Infection
63,40,66,17,Fever
71,39,89,20,Heat_Stress
78,39,75,13,Respiratory_Infection
46,38,68,14,Normal
59,41,42,23,Heat_Stress
76,40,65,22,Respiratory_Infection
44,38,91,16,Heat_Stress
77,39,80,15,Respiratory_Infection
69,37,66,22,Fever
91,39,80,23,Fever
79,37,62,21,Fever
92,38,80,14,Fever
64,38,71,18,Heat_Stress
56,38,80,31,Heat_Stress
90,38,76,5,Respiratory_Infection
73,39,82,26,Fever
54,37,86,18,Fever
70,38,51,19,Normal
57,38,46,22,Normal
78,39,75,18,Normal
68,38,57,9,Respiratory_Infection
78,39,71,25,Fever
58,40,80,15,Normal
40,38,115,25,Respiratory_Infection
86,38,63,12,Normal
45,38,86,25,Fever
73,35,82,16,Heat_Stress
72,40,82,12,Normal
54,38,38,26,Normal
63,37,77,22,Respiratory_Infection
76,40,56,20,Normal
92,38,81,24,Fever
82,37,100,17,Respiratory_Infection
93,39,101,18,Heat_Stress
74,38,77,25,Normal
74,39,88,16,Fever
66,39,100,19,Fever
65,38,73,26,Normal
64,39,51,29,Normal
69,39,55,24,Normal
64,39,48,17,Respiratory_Infection
71,40,74,13,Normal
79,38,73,29,Fever
80,38,72,14,Heat_Stress
67,38,90,15,Fever
57,39,57,10,Normal
100,40,65,19,Respiratory_Infection
57,39,73,21,Heat_Stress
44,38,88,19,Fever
79,41,65,28,Normal
91,40,55,22,Respiratory_Infection
67,39,70,15,Fever
70,38,54,27,Respiratory_Infection
85,36,78,18,Normal
79,38,66,16,Fever
81,40,90,9,Respiratory_Infection
69,38,83,18,Respiratory_Infection
74,42,79,28,Fever
85,40,59,13,Respiratory_Infection
92,38,74,18,Normal
78,40,59,17,Heat_Stress
69,37,79,12,Normal
84,37,70,30,Heat_Stress
72,38,63,24,Respiratory_Infection
73,40,70,18,Heat_Stress
56,37,86,16,Fever
80,38,82,22,Respiratory_Infection
67,39,59,17,Heat_Stress
69,38,72,28,Fever
60,39,74,28,Heat_Stress
64,38,62,24,Respiratory_Infection
58,38,69,18,Normal
76,37,73,18,Normal
88,42,66,15,Fever
56,39,79,23,Heat_Stress
88,40,72,18,Heat_Stress
87,38,46,20,Fever
86,37,76,14,Respiratory_Infection
76,38,91,16,Normal
54,37,67,13,Fever
62,38,91,19,Respiratory_Infection
67,38,56,19,Fever
73,39,79,20,Normal
99,42,85,20,Normal
76,39,43,23,Normal
54,39,68,30,Normal
59,38,68,18,Respiratory_Infection
87,41,94,22,Heat_Stress
71,37,31,10,Heat_Stress
77,36,68,26,Heat_Stress
85,41,47,21,Normal
68,40,84,21,Fever
